cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.1,cv,cv
2,5.0,ps0,ps0
3,5.1,ps1,ps-1
4,5.2,ps2,ps-2
5,5.3,ps3,ps-3
6,5.4,ps4,ps-4
7,5.5,ps5,ps-5
8,5.6,ps6,ps-6
9,5.7,ps7,ps-7
10,5.8,ps8,ps-8
11,5.9,ps9,ps-9
12,6.0,ps10,ps-10
13,6.1,ps11,ps-11
14,6.2,ps12,ps-12
15,6.3,ps13,ps-13
16,6.4,ps14,ps-14
17,6.5,ps15,ps-15
18,6.6,ps16,ps-16
19,6.7,ps17,ps-17
20,6.8,ps18,ps-18
21,6.9,ps19,ps-19
22,7.0,ps20,ps-20
23,7.1,ps21,ps-21
24,7.2,ps22,ps-22
25,7.3,ps23,ps-23
26,7.4,ps24,ps-24
27,7.5,ps25,ps-25
28,7.6,ps26,ps-26
29,7.7,ps27,ps-27
30,7.8,ps28,ps-28
31,7.9,ps29,ps-29
32,8.0,ps29,ps-29
33,8.1,ps30,ps-30
34,8.2,ps31,ps-31
35,8.3,ps32,ps-32
36,8.4,ps33,ps-33
37,8.5,ps33,ps-33
38,8.6,ps34,ps-34
39,8.7,ps35,ps-35
40,8.8,ps36,ps-36
41,8.9,ps36,ps-36
42,9.0,ps37,ps-37
43,9.1,ps38,ps-38
44,9.2,ps39,ps-39
45,9.3,ps39,ps-39
46,9.4,ps40,ps-40
47,9.5,ps40,ps-40
48,9.6,ps41,ps-41
49,9.7,ps42,ps-42
50,9.8,ps42,ps-42
51,9.9,ps43,ps-43
52,10.0,ps43,ps-43
53,10.1,ps44,ps-44
54,10.2,ps44,ps-44
55,10.3,ps45,ps-45
56,10.4,ps45,ps-45
57,10.5,ps46,ps-46
58,10.6,ps46,ps-46
59,10.7,ps46,ps-46
60,10.8,ps47,ps-47
61,10.9,ps47,ps-47
62,11.0,ps48,ps-48
63,11.1,ps48,ps-48
64,11.2,ps48,ps-48
65,11.3,ps48,ps-48
66,11.4,ps49,ps-49
67,11.5,ps49,ps-49
68,11.6,ps49,ps-49
69,11.7,ps49,ps-49
70,11.8,ps49,ps-49
71,11.9,ps50,ps-50
72,12.0,ps50,ps-50
73,12.1,ps50,ps-50
74,12.2,ps50,ps-50
75,12.3,ps50,ps-50
76,12.4,ps50,ps-50
77,12.5,ps50,ps-50
78,12.6,ps50,ps-50
79,12.7,ps50,ps-50
80,12.8,ps50,ps-50
81,12.9,ps50,ps-50
82,13.0,ps50,ps-50
83,13.1,ps50,ps-50
84,13.2,ps49,ps-49
85,13.3,ps49,ps-49
86,13.4,ps49,ps-49
87,13.5,ps49,ps-49
88,13.6,ps49,ps-49
89,13.7,ps48,ps-48
90,13.8,ps48,ps-48
91,13.9,ps48,ps-48
92,14.0,ps48,ps-48
93,14.1,ps47,ps-47
94,14.2,ps47,ps-47
95,14.3,ps46,ps-46
96,14.4,ps46,ps-46
97,14.5,ps46,ps-46
98,14.6,ps45,ps-45
99,14.7,ps45,ps-45
100,14.8,ps44,ps-44
101,14.9,ps44,ps-44
