cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.1,cv,se
2,5.0,ps0,
3,5.1,ps1,
4,5.2,ps2,
5,5.3,ps3,
6,5.4,ps4,
7,5.5,ps5,
8,5.6,ps6,
9,5.7,ps7,
10,5.8,ps8,
11,5.9,ps9,
12,6.0,ps10,
13,6.1,ps11,
14,6.2,ps13,
15,6.3,ps14,
16,6.4,ps15,
17,6.5,ps16,
18,6.6,ps17,
19,6.7,ps18,
20,6.8,ps19,
21,6.9,ps20,
22,7.0,ps21,
23,7.1,ps22,
24,7.2,ps23,
25,7.3,ps24,
26,7.4,ps25,
27,7.5,ps26,
28,7.6,ps27,
29,7.7,ps28,
30,7.8,ps29,
31,7.9,ps30,
32,8.0,ps31,
33,8.1,ps32,
34,8.2,ps33,
35,8.3,ps34,
36,8.4,ps35,
37,8.5,ps36,
38,8.6,ps37,
39,8.7,ps38,
40,8.8,ps39,
41,8.9,ps40,
42,9.0,ps41,
43,9.1,ps42,
44,9.2,ps43,
45,9.3,ps44,
46,9.4,ps44,
47,9.5,ps45,
48,9.6,ps46,
49,9.7,ps47,
50,9.8,ps48,
51,9.9,ps49,
52,10.0,ps50,
53,10.1,ps51,
54,10.2,ps52,
55,10.3,ps53,
56,10.4,ps54,
57,10.5,ps54,
58,10.6,ps55,
59,10.7,ps56,
60,10.8,ps57,
61,10.9,ps58,
62,11.0,ps59,
63,11.1,ps60,
64,11.2,ps60,
65,11.3,ps61,
66,11.4,ps62,
67,11.5,ps63,
68,11.6,ps64,
69,11.7,ps65,
70,11.8,ps65,
71,11.9,ps66,
72,12.0,ps67,
73,12.1,ps68,
74,12.2,ps68,
75,12.3,ps69,
76,12.4,ps70,
77,12.5,ps71,
78,12.6,ps71,
79,12.7,ps72,
80,12.8,ps73,
81,12.9,ps74,
82,13.0,ps74,
83,13.1,ps75,
84,13.2,ps76,
85,13.3,ps76,
86,13.4,ps77,
87,13.5,ps78,
88,13.6,ps78,
89,13.7,ps79,
90,13.8,ps80,
91,13.9,ps80,
92,14.0,ps81,
93,14.1,ps82,
94,14.2,ps82,
95,14.3,ps83,
96,14.4,ps83,
97,14.5,ps84,
98,14.6,ps84,
99,14.7,ps85,
100,14.8,ps86,
101,14.9,ps86,
102,15.0,ps87,
103,15.1,ps87,
104,15.2,ps88,
105,15.3,ps88,
106,15.4,ps89,
107,15.5,ps89,
108,15.6,ps90,
109,15.7,ps90,
110,15.8,ps90,
111,15.9,ps91,
112,16.0,ps91,
113,16.1,ps92,
114,16.2,ps92,
115,16.3,ps93,
116,16.4,ps93,
117,16.5,ps93,
118,16.6,ps94,
119,16.7,ps94,
120,16.8,ps94,
121,16.9,ps95,
122,17.0,ps95,
123,17.1,ps95,
124,17.2,ps96,
125,17.3,ps96,
126,17.4,ps96,
127,17.5,ps97,
128,17.6,ps97,
129,17.7,ps97,
130,17.8,ps97,
131,17.9,ps98,
132,18.0,ps98,
133,18.1,ps98,
134,18.2,ps98,
135,18.3,ps98,
136,18.4,ps99,
137,18.5,ps99,
138,18.6,ps99,
139,18.7,ps99,
140,18.8,ps99,
141,18.9,ps99,
142,19.0,ps99,
143,19.1,ps100,
144,19.2,ps100,
145,19.3,ps100,
146,19.4,ps100,
147,19.5,ps100,
148,19.6,ps100,
149,19.7,ps100,
150,19.8,ps100,
151,19.9,ps100,
152,20.0,ps100,
153,20.1,ps100,
154,20.2,ps100,
155,20.3,ps100,
156,20.4,ps100,
157,20.5,ps100,
158,20.6,ps100,
159,20.7,ps100,
