time,angle_x_filter_R,angle_x_filter_L,angle_x_filter_M,angle_y_filter_R,angle_y_filter_L,angle_y_filter_M,angle_x_raw_R,angle_x_raw_L,angle_x_raw_M,angle_y_raw_R,angle_y_raw_L,angle_y_raw_M,radiation_R,radiation_L,radiation_M,temp_R,temp_L,temp_M
2018-01-29 21:38:37.526,-1.031,-1.287,-1.139,-0.365,-0.658,-0.684,-1.044,-1.295,-1.15,-0.367,-0.657,-0.688,735.0,728.0,741.0,19.6,20.4,22.7
2018-01-29 21:38:37.651,-1.032,-1.287,-1.14,-0.365,-0.658,-0.684,-1.035,-1.293,-1.146,-0.367,-0.653,-0.693,735.0,728.0,741.0,19.6,20.4,22.7
2018-01-29 21:38:37.778,-1.032,-1.288,-1.14,-0.365,-0.658,-0.684,-1.03,-1.29,-1.137,-0.362,-0.664,-0.689,735.0,728.0,741.0,19.6,20.4,22.7
2018-01-29 21:38:37.934,-1.033,-1.288,-1.141,-0.365,-0.658,-0.684,-1.028,-1.29,-1.148,-0.374,-0.664,-0.701,735.0,728.0,741.0,19.6,20.5,22.7
2018-01-29 21:38:38.075,-1.034,-1.289,-1.142,-0.366,-0.658,-0.684,-1.037,-1.289,-1.137,-0.374,-0.662,-0.689,736.0,729.0,742.0,19.7,20.6,22.9
2018-01-29 21:38:38.200,-1.034,-1.289,-1.143,-0.367,-0.658,-0.685,-1.03,-1.289,-1.137,-0.353,-0.662,-0.701,737.0,729.0,742.0,19.7,20.7,23.0
2018-01-29 21:38:38.324,-1.034,-1.289,-1.143,-0.367,-0.659,-0.685,-1.037,-1.289,-1.141,-0.374,-0.662,-0.696,738.0,730.0,742.0,19.8,20.7,23.1
2018-01-29 21:38:38.465,-1.034,-1.289,-1.143,-0.368,-0.659,-0.685,-1.035,-1.287,-1.139,-0.367,-0.649,-0.688,738.0,731.0,743.0,19.8,20.8,23.1
2018-01-29 21:38:38.605,-1.034,-1.289,-1.143,-0.369,-0.659,-0.686,-1.025,-1.281,-1.141,-0.363,-0.666,-0.696,739.0,732.0,744.0,19.9,20.8,23.2
2018-01-29 21:38:38.730,-1.035,-1.289,-1.143,-0.369,-0.659,-0.687,-1.03,-1.29,-1.146,-0.369,-0.664,-0.693,739.0,734.0,745.0,20.0,20.8,23.2
