cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.1,cv,cv
2,5.0,ps0,ps0
3,5.1,ps2,ps-2
4,5.2,ps4,ps-4
5,5.3,ps6,ps-6
6,5.4,ps8,ps-8
7,5.5,ps10,ps-10
8,5.6,ps13,ps-13
9,5.7,ps15,ps-15
10,5.8,ps17,ps-17
11,5.9,ps19,ps-19
12,6.0,ps21,ps-21
13,6.1,ps23,ps-23
14,6.2,ps25,ps-25
15,6.3,ps27,ps-27
16,6.4,ps29,ps-29
17,6.5,ps31,ps-31
18,6.6,ps33,ps-33
19,6.7,ps35,ps-35
20,6.8,ps37,ps-37
21,6.9,ps39,ps-39
22,7.0,ps41,ps-41
23,7.1,ps43,ps-43
24,7.2,ps44,ps-44
25,7.3,ps46,ps-46
26,7.4,ps48,ps-48
27,7.5,ps50,ps-50
28,7.6,ps52,ps-52
29,7.7,ps54,ps-54
30,7.8,ps55,ps-55
31,7.9,ps57,ps-57
32,8.0,ps59,ps-59
33,8.1,ps60,ps-60
34,8.2,ps62,ps-62
35,8.3,ps64,ps-64
36,8.4,ps65,ps-65
37,8.5,ps67,ps-67
38,8.6,ps68,ps-68
39,8.7,ps70,ps-70
40,8.8,ps71,ps-71
41,8.9,ps73,ps-73
42,9.0,ps74,ps-74
43,9.1,ps76,ps-76
44,9.2,ps77,ps-77
45,9.3,ps78,ps-78
46,9.4,ps80,ps-80
47,9.5,ps81,ps-81
48,9.6,ps82,ps-82
49,9.7,ps83,ps-83
50,9.8,ps84,ps-84
51,9.9,ps86,ps-86
52,10.0,ps87,ps-87
53,10.1,ps88,ps-88
54,10.2,ps89,ps-89
55,10.3,ps90,ps-90
56,10.4,ps90,ps-90
57,10.5,ps91,ps-91
58,10.6,ps92,ps-92
59,10.7,ps93,ps-93
60,10.8,ps94,ps-94
61,10.9,ps94,ps-94
62,11.0,ps95,ps-95
63,11.1,ps96,ps-96
64,11.2,ps96,ps-96
65,11.3,ps97,ps-97
66,11.4,ps97,ps-97
67,11.5,ps98,ps-98
68,11.6,ps98,ps-98
69,11.7,ps99,ps-99
70,11.8,ps99,ps-99
71,11.9,ps99,ps-99
72,12.0,ps99,ps-99
73,12.1,ps100,ps-100
74,12.2,ps100,ps-100
75,12.3,ps100,ps-100
76,12.4,ps100,ps-100
77,12.5,ps100,ps-100
78,12.6,ps100,ps-100
79,12.7,ps100,ps-100
80,12.8,ps100,ps-100
81,12.9,ps100,ps-100
82,13.0,ps99,ps-99
83,13.1,ps99,ps-99
84,13.2,ps99,ps-99
85,13.3,ps99,ps-99
86,13.4,ps98,ps-98
87,13.5,ps98,ps-98
88,13.6,ps97,ps-97
89,13.7,ps97,ps-97
90,13.8,ps96,ps-96
91,13.9,ps96,ps-96
92,14.0,ps95,ps-95
93,14.1,ps94,ps-94
94,14.2,ps94,ps-94
95,14.3,ps93,ps-93
96,14.4,ps92,ps-92
97,14.5,ps91,ps-91
98,14.6,ps90,ps-90
99,14.7,ps90,ps-90
100,14.8,ps89,ps-89
101,14.9,ps88,ps-88
