cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.1,cv,se
2,5.0,ps0,
3,5.1,ps1,
4,5.2,ps1,
5,5.3,ps2,
6,5.4,ps2,
7,5.5,ps3,
8,5.6,ps3,
9,5.7,ps4,
10,5.8,ps4,
11,5.9,ps5,
12,6.0,ps5,
13,6.1,ps6,
14,6.2,ps6,
15,6.3,ps7,
16,6.4,ps7,
17,6.5,ps8,
18,6.6,ps8,
19,6.7,ps9,
20,6.8,ps9,
21,6.9,ps10,
22,7.0,ps10,
23,7.1,ps11,
24,7.2,ps11,
25,7.3,ps12,
26,7.4,ps12,
27,7.5,ps13,
28,7.6,ps13,
29,7.7,ps14,
30,7.8,ps14,
31,7.9,ps15,
32,8.0,ps15,
33,8.1,ps16,
34,8.2,ps16,
35,8.3,ps17,
36,8.4,ps17,
37,8.5,ps18,
38,8.6,ps18,
39,8.7,ps19,
40,8.8,ps19,
41,8.9,ps20,
42,9.0,ps20,
43,9.1,ps21,
44,9.2,ps21,
45,9.3,ps22,
46,9.4,ps22,
47,9.5,ps23,
48,9.6,ps23,
49,9.7,ps24,
50,9.8,ps24,
51,9.9,ps25,
52,10.0,ps25,
53,10.1,ps25,
54,10.2,ps26,
55,10.3,ps26,
56,10.4,ps27,
57,10.5,ps27,
58,10.6,ps28,
59,10.7,ps28,
60,10.8,ps29,
61,10.9,ps29,
62,11.0,ps29,
63,11.1,ps30,
64,11.2,ps30,
65,11.3,ps31,
66,11.4,ps31,
67,11.5,ps31,
68,11.6,ps32,
69,11.7,ps32,
70,11.8,ps33,
71,11.9,ps33,
72,12.0,ps33,
73,12.1,ps34,
74,12.2,ps34,
75,12.3,ps35,
76,12.4,ps35,
77,12.5,ps35,
78,12.6,ps36,
79,12.7,ps36,
80,12.8,ps36,
81,12.9,ps37,
82,13.0,ps37,
83,13.1,ps38,
84,13.2,ps38,
85,13.3,ps38,
86,13.4,ps39,
87,13.5,ps39,
88,13.6,ps39,
89,13.7,ps40,
90,13.8,ps40,
91,13.9,ps40,
92,14.0,ps40,
93,14.1,ps41,
94,14.2,ps41,
95,14.3,ps41,
96,14.4,ps42,
97,14.5,ps42,
98,14.6,ps42,
99,14.7,ps42,
100,14.8,ps43,
101,14.9,ps43,
102,15.0,ps43,
103,15.1,ps44,
104,15.2,ps44,
105,15.3,ps44,
106,15.4,ps44,
107,15.5,ps45,
108,15.6,ps45,
109,15.7,ps45,
110,15.8,ps45,
111,15.9,ps45,
112,16.0,ps46,
113,16.1,ps46,
114,16.2,ps46,
115,16.3,ps46,
116,16.4,ps46,
117,16.5,ps47,
118,16.6,ps47,
119,16.7,ps47,
120,16.8,ps47,
121,16.9,ps47,
122,17.0,ps48,
123,17.1,ps48,
124,17.2,ps48,
125,17.3,ps48,
126,17.4,ps48,
127,17.5,ps48,
128,17.6,ps48,
129,17.7,ps49,
130,17.8,ps49,
131,17.9,ps49,
132,18.0,ps49,
133,18.1,ps49,
134,18.2,ps49,
135,18.3,ps49,
136,18.4,ps49,
137,18.5,ps49,
138,18.6,ps49,
139,18.7,ps50,
140,18.8,ps50,
141,18.9,ps50,
142,19.0,ps50,
143,19.1,ps50,
144,19.2,ps50,
145,19.3,ps50,
146,19.4,ps50,
147,19.5,ps50,
148,19.6,ps50,
149,19.7,ps50,
150,19.8,ps50,
151,19.9,ps50,
152,20.0,ps50,
153,20.1,ps50,
154,20.2,ps50,
155,20.3,ps50,
156,20.4,ps50,
157,20.5,ps50,
158,20.6,ps50,
159,20.7,ps50,
