cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.1,cv,se
2,5.0,ps0,
3,5.1,ps0,
4,5.2,ps1,
5,5.3,ps1,
6,5.4,ps1,
7,5.5,ps1,
8,5.6,ps2,
9,5.7,ps2,
10,5.8,ps2,
11,5.9,ps2,
12,6.0,ps3,
13,6.1,ps3,
14,6.2,ps3,
15,6.3,ps3,
16,6.4,ps4,
17,6.5,ps4,
18,6.6,ps4,
19,6.7,ps4,
20,6.8,ps5,
21,6.9,ps5,
22,7.0,ps5,
23,7.1,ps5,
24,7.2,ps6,
25,7.3,ps6,
26,7.4,ps6,
27,7.5,ps7,
28,7.6,ps7,
29,7.7,ps7,
30,7.8,ps7,
31,7.9,ps8,
32,8.0,ps8,
33,8.1,ps8,
34,8.2,ps8,
35,8.3,ps9,
36,8.4,ps9,
37,8.5,ps9,
38,8.6,ps9,
39,8.7,ps10,
40,8.8,ps10,
41,8.9,ps10,
42,9.0,ps10,
43,9.1,ps11,
44,9.2,ps11,
45,9.3,ps11,
46,9.4,ps11,
47,9.5,ps12,
48,9.6,ps12,
49,9.7,ps12,
50,9.8,ps12,
51,9.9,ps13,
52,10.0,ps13,
53,10.1,ps13,
54,10.2,ps13,
55,10.3,ps14,
56,10.4,ps14,
57,10.5,ps14,
58,10.6,ps14,
59,10.7,ps15,
60,10.8,ps15,
61,10.9,ps15,
62,11.0,ps15,
63,11.1,ps16,
64,11.2,ps16,
65,11.3,ps16,
66,11.4,ps16,
67,11.5,ps17,
68,11.6,ps17,
69,11.7,ps17,
70,11.8,ps17,
71,11.9,ps18,
72,12.0,ps18,
73,12.1,ps18,
74,12.2,ps18,
75,12.3,ps19,
76,12.4,ps19,
77,12.5,ps19,
78,12.6,ps19,
79,12.7,ps20,
80,12.8,ps20,
81,12.9,ps20,
82,13.0,ps20,
83,13.1,ps21,
84,13.2,ps21,
85,13.3,ps21,
86,13.4,ps21,
87,13.5,ps22,
88,13.6,ps22,
89,13.7,ps22,
90,13.8,ps22,
91,13.9,ps22,
92,14.0,ps23,
93,14.1,ps23,
94,14.2,ps23,
95,14.3,ps23,
96,14.4,ps24,
97,14.5,ps24,
98,14.6,ps24,
99,14.7,ps24,
100,14.8,ps25,
101,14.9,ps25,
102,15.0,ps25,
103,15.1,ps25,
104,15.2,ps25,
105,15.3,ps26,
106,15.4,ps26,
107,15.5,ps26,
108,15.6,ps26,
109,15.7,ps27,
110,15.8,ps27,
111,15.9,ps27,
112,16.0,ps27,
113,16.1,ps27,
114,16.2,ps28,
115,16.3,ps28,
116,16.4,ps28,
117,16.5,ps28,
118,16.6,ps29,
119,16.7,ps29,
120,16.8,ps29,
121,16.9,ps29,
122,17.0,ps29,
123,17.1,ps30,
124,17.2,ps30,
125,17.3,ps30,
126,17.4,ps30,
127,17.5,ps30,
128,17.6,ps31,
129,17.7,ps31,
130,17.8,ps31,
131,17.9,ps31,
132,18.0,ps31,
133,18.1,ps32,
134,18.2,ps32,
135,18.3,ps32,
136,18.4,ps32,
137,18.5,ps32,
138,18.6,ps33,
139,18.7,ps33,
140,18.8,ps33,
141,18.9,ps33,
142,19.0,ps33,
143,19.1,ps34,
144,19.2,ps34,
145,19.3,ps34,
146,19.4,ps34,
147,19.5,ps34,
148,19.6,ps35,
149,19.7,ps35,
150,19.8,ps35,
151,19.9,ps35,
152,20.0,ps35,
153,20.1,ps36,
154,20.2,ps36,
155,20.3,ps36,
156,20.4,ps36,
157,20.5,ps36,
158,20.6,ps36,
159,20.7,ps37,
