time,accel_x,accel_y,accel_z,ang_x,ang_y,ang_z,mag_x,mag_y,mag_z,pitch,roll,yaw
2018-03-05 21:09:47.215745,-0.5759999752044678,0.15399999916553497,-9.619999885559082,-2.300000051036477e-05,0.0012179999612271786,0.000155999994603917,0.1882999986410141,0.09920000284910202,0.49570000171661377,-3.36899995803833,-0.8999999761581421,-33.0629997253418
2018-03-05 21:09:47.225300,-0.5759999752044678,0.15399999916553497,-9.619999885559082,-2.300000051036477e-05,0.0012179999612271786,0.000155999994603917,0.1882999986410141,0.09920000284910202,0.49570000171661377,-3.36899995803833,-0.8999999761581421,-33.0629997253418
2018-03-05 21:09:47.235406,-0.5759999752044678,0.15399999916553497,-9.619999885559082,-2.300000051036477e-05,0.0012179999612271786,0.000155999994603917,0.1882999986410141,0.09920000284910202,0.49570000171661377,-3.36899995803833,-0.8999999761581421,-33.0629997253418
2018-03-05 21:09:47.245553,-0.5870000123977661,0.17499999701976776,-9.581000328063965,0.0006309999735094607,-0.000691999972332269,-0.0008340000058524311,0.1882999986410141,0.10109999775886536,0.4925000071525574,-3.36899995803833,-0.8999999761581421,-33.0629997253418
2018-03-05 21:09:47.255599,-0.5529999732971191,0.15800000727176666,-9.569999694824219,-0.0012260000221431255,-1.700000029813964e-05,0.0002519999979995191,0.1882999986410141,0.09719999879598618,0.4968000054359436,-3.369999885559082,-0.9010000228881836,-33.0629997253418
2018-03-05 21:09:47.265815,-0.5529999732971191,0.15800000727176666,-9.569999694824219,-0.0012260000221431255,-1.700000029813964e-05,0.0002519999979995191,0.1882999986410141,0.09719999879598618,0.4968000054359436,-3.369999885559082,-0.9010000228881836,-33.0629997253418
2018-03-05 21:09:47.275957,-0.5529999732971191,0.15800000727176666,-9.569999694824219,-0.0012260000221431255,-1.700000029813964e-05,0.0002519999979995191,0.1882999986410141,0.09719999879598618,0.4968000054359436,-3.369999885559082,-0.9010000228881836,-33.0629997253418
2018-03-05 21:09:47.285976,-0.5619999766349792,0.1599999964237213,-9.600000381469727,0.0008779999916441739,-0.00046999999904073775,0.0003260000084992498,0.1882999986410141,0.10209999978542328,0.5009999871253967,-3.369999885559082,-0.9020000100135803,-33.0620002746582
2018-03-05 21:09:47.296114,-0.5619999766349792,0.1599999964237213,-9.600000381469727,0.0008779999916441739,-0.00046999999904073775,0.0003260000084992498,0.1882999986410141,0.10209999978542328,0.5009999871253967,-3.369999885559082,-0.9020000100135803,-33.0620002746582
2018-03-05 21:09:47.306144,-0.5619999766349792,0.1599999964237213,-9.600000381469727,0.0008779999916441739,-0.00046999999904073775,0.0003260000084992498,0.1882999986410141,0.10209999978542328,0.5009999871253967,-3.369999885559082,-0.9020000100135803,-33.0620002746582
2018-03-05 21:09:47.316393,-0.5619999766349792,0.1599999964237213,-9.600000381469727,0.0008779999916441739,-0.00046999999904073775,0.0003260000084992498,0.1882999986410141,0.10209999978542328,0.5009999871253967,-3.369999885559082,-0.9020000100135803,-33.0620002746582
2018-03-05 21:09:47.326586,-0.5600000023841858,0.15700000524520874,-9.581999778747559,0.0005629999795928597,-0.00021399999968707561,-0.0010100000072270632,0.1891999989748001,0.09619999676942825,0.4957999885082245,-3.36899995803833,-0.9020000100135803,-33.058998107910156
2018-03-05 21:09:47.336627,-0.5600000023841858,0.15700000524520874,-9.581999778747559,0.0005629999795928597,-0.00021399999968707561,-0.0010100000072270632,0.1891999989748001,0.09619999676942825,0.4957999885082245,-3.36899995803833,-0.9020000100135803,-33.058998107910156
2018-03-05 21:09:47.346759,-0.5600000023841858,0.15700000524520874,-9.581999778747559,0.0005629999795928597,-0.00021399999968707561,-0.0010100000072270632,0.1891999989748001,0.09619999676942825,0.4957999885082245,-3.36899995803833,-0.9020000100135803,-33.058998107910156
2018-03-05 21:09:47.356812,-0.5600000023841858,0.15700000524520874,-9.581999778747559,0.0005629999795928597,-0.00021399999968707561,-0.0010100000072270632,0.1891999989748001,0.09619999676942825,0.4957999885082245,-3.36899995803833,-0.9020000100135803,-33.058998107910156
2018-03-05 21:09:47.367100,-0.5759999752044678,0.13300000131130219,-9.600000381469727,0.0002010000025620684,-9.100000170292333e-05,-0.0006649999995715916,0.1882999986410141,0.10400000214576721,0.49559998512268066,-3.36899995803833,-0.9010000228881836,-33.0620002746582
2018-03-05 21:09:47.377174,-0.5759999752044678,0.13300000131130219,-9.600000381469727,0.0002010000025620684,-9.100000170292333e-05,-0.0006649999995715916,0.1882999986410141,0.10400000214576721,0.49559998512268066,-3.36899995803833,-0.9010000228881836,-33.0620002746582
2018-03-05 21:09:47.387272,-0.5759999752044678,0.13300000131130219,-9.600000381469727,0.0002010000025620684,-9.100000170292333e-05,-0.0006649999995715916,0.1882999986410141,0.10400000214576721,0.49559998512268066,-3.36899995803833,-0.9010000228881836,-33.0620002746582
2018-03-05 21:09:47.397457,-0.5759999752044678,0.13300000131130219,-9.600000381469727,0.0002010000025620684,-9.100000170292333e-05,-0.0006649999995715916,0.1882999986410141,0.10400000214576721,0.49559998512268066,-3.36899995803833,-0.9010000228881836,-33.0620002746582
2018-03-05 21:09:47.407751,-0.578000009059906,0.1589999943971634,-9.619000434875488,0.0005239999736659229,-4.8999998398358e-05,6.800000119255856e-05,0.1891999989748001,0.09619999676942825,0.4957999885082245,-3.36899995803833,-0.8999999761581421,-33.0629997253418
