delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,se
5.0,ps0,
5.1,ps1,
5.2,ps2,
5.3,ps3,
5.4,ps4,
5.5,ps5,
5.6,ps6,
5.7,ps7,
5.8,ps8,
5.9,ps9,
6.0,ps10,
6.1,ps11,
6.2,ps13,
6.3,ps14,
6.4,ps15,
6.5,ps16,
6.6,ps17,
6.7,ps18,
6.8,ps19,
6.9,ps20,
7.0,ps21,
7.1,ps22,
7.2,ps23,
7.3,ps24,
7.4,ps25,
7.5,ps26,
7.6,ps27,
7.7,ps28,
7.8,ps29,
7.9,ps30,
8.0,ps31,
8.1,ps32,
8.2,ps33,
8.3,ps34,
8.4,ps35,
8.5,ps36,
8.6,ps37,
8.7,ps38,
8.8,ps39,
8.9,ps40,
9.0,ps41,
9.1,ps42,
9.2,ps43,
9.3,ps44,
9.4,ps44,
9.5,ps45,
9.6,ps46,
9.7,ps47,
9.8,ps48,
9.9,ps49,
10.0,ps50,
10.1,ps51,
10.2,ps52,
10.3,ps53,
10.4,ps54,
10.5,ps54,
10.6,ps55,
10.7,ps56,
10.8,ps57,
10.9,ps58,
11.0,ps59,
11.1,ps60,
11.2,ps60,
11.3,ps61,
11.4,ps62,
11.5,ps63,
11.6,ps64,
11.7,ps65,
11.8,ps65,
11.9,ps66,
12.0,ps67,
12.1,ps68,
12.2,ps68,
12.3,ps69,
12.4,ps70,
12.5,ps71,
12.6,ps71,
12.7,ps72,
12.8,ps73,
12.9,ps74,
13.0,ps74,
13.1,ps75,
13.2,ps76,
13.3,ps76,
13.4,ps77,
13.5,ps78,
13.6,ps78,
13.7,ps79,
13.8,ps80,
13.9,ps80,
14.0,ps81,
14.1,ps82,
14.2,ps82,
14.3,ps83,
14.4,ps83,
14.5,ps84,
14.6,ps84,
14.7,ps85,
14.8,ps86,
14.9,ps86,
15.0,ps87,
15.1,ps87,
15.2,ps88,
15.3,ps88,
15.4,ps89,
15.5,ps89,
15.6,ps90,
15.7,ps90,
15.8,ps90,
15.9,ps91,
16.0,ps91,
16.1,ps92,
16.2,ps92,
16.3,ps93,
16.4,ps93,
16.5,ps93,
16.6,ps94,
16.7,ps94,
16.8,ps94,
16.9,ps95,
17.0,ps95,
17.1,ps95,
17.2,ps96,
17.3,ps96,
17.4,ps96,
17.5,ps97,
17.6,ps97,
17.7,ps97,
17.8,ps97,
17.9,ps98,
18.0,ps98,
