delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,cv
5.0,ps0,ps0
5.1,ps1,ps-1
5.2,ps1,ps-1
5.3,ps2,ps-2
5.4,ps2,ps-2
5.5,ps3,ps-3
5.6,ps3,ps-3
5.7,ps4,ps-4
5.8,ps4,ps-4
5.9,ps5,ps-5
6.0,ps5,ps-5
6.1,ps6,ps-6
6.2,ps6,ps-6
6.3,ps7,ps-7
6.4,ps7,ps-7
6.5,ps8,ps-8
6.6,ps8,ps-8
6.7,ps9,ps-9
6.8,ps9,ps-9
6.9,ps10,ps-10
7.0,ps10,ps-10
7.1,ps11,ps-11
7.2,ps11,ps-11
7.3,ps12,ps-12
7.4,ps13,ps-13
7.5,ps13,ps-13
7.6,ps14,ps-14
7.7,ps14,ps-14
7.8,ps15,ps-15
7.9,ps15,ps-15
8.0,ps16,ps-16
8.1,ps16,ps-16
8.2,ps17,ps-17
8.3,ps17,ps-17
8.4,ps18,ps-18
8.5,ps18,ps-18
8.6,ps19,ps-19
8.7,ps19,ps-19
8.8,ps20,ps-20
8.9,ps20,ps-20
9.0,ps21,ps-21
9.1,ps21,ps-21
9.2,ps22,ps-22
9.3,ps22,ps-22
9.4,ps23,ps-23
9.5,ps23,ps-23
9.6,ps24,ps-24
9.7,ps24,ps-24
9.8,ps25,ps-25
9.9,ps25,ps-25
10.0,ps26,ps-26
10.1,ps26,ps-26
10.2,ps27,ps-27
10.3,ps27,ps-27
10.4,ps28,ps-28
10.5,ps28,ps-28
10.6,ps29,ps-29
10.7,ps29,ps-29
10.8,ps30,ps-30
10.9,ps30,ps-30
11.0,ps31,ps-31
11.1,ps31,ps-31
11.2,ps32,ps-32
11.3,ps32,ps-32
11.4,ps33,ps-33
11.5,ps33,ps-33
11.6,ps34,ps-34
11.7,ps34,ps-34
11.8,ps35,ps-35
11.9,ps35,ps-35
12.0,ps36,ps-36
12.1,ps36,ps-36
12.2,ps37,ps-37
12.3,ps37,ps-37
12.4,ps38,ps-38
12.5,ps38,ps-38
12.6,ps39,ps-39
12.7,ps39,ps-39
12.8,ps40,ps-40
12.9,ps40,ps-40
13.0,ps41,ps-41
13.1,ps41,ps-41
13.2,ps42,ps-42
13.3,ps42,ps-42
13.4,ps43,ps-43
13.5,ps43,ps-43
13.6,ps44,ps-44
13.7,ps44,ps-44
13.8,ps44,ps-44
13.9,ps45,ps-45
14.0,ps45,ps-45
14.1,ps46,ps-46
14.2,ps46,ps-46
14.3,ps47,ps-47
14.4,ps47,ps-47
14.5,ps48,ps-48
