delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,se
5.0,ps0,
5.1,ps2,
5.2,ps4,
5.3,ps6,
5.4,ps8,
5.5,ps10,
5.6,ps13,
5.7,ps15,
5.8,ps17,
5.9,ps19,
6.0,ps21,
6.1,ps23,
6.2,ps25,
6.3,ps27,
6.4,ps29,
6.5,ps31,
6.6,ps33,
6.7,ps35,
6.8,ps37,
6.9,ps39,
7.0,ps41,
7.1,ps43,
7.2,ps44,
7.3,ps46,
7.4,ps48,
7.5,ps50,
7.6,ps52,
7.7,ps54,
7.8,ps55,
7.9,ps57,
8.0,ps59,
8.1,ps60,
8.2,ps62,
8.3,ps64,
8.4,ps65,
8.5,ps67,
8.6,ps68,
8.7,ps70,
8.8,ps71,
8.9,ps73,
9.0,ps74,
9.1,ps76,
9.2,ps77,
9.3,ps78,
9.4,ps80,
9.5,ps81,
9.6,ps82,
9.7,ps83,
9.8,ps84,
9.9,ps86,
10.0,ps87,
10.1,ps88,
10.2,ps89,
10.3,ps90,
10.4,ps90,
10.5,ps91,
10.6,ps92,
10.7,ps93,
10.8,ps94,
10.9,ps94,
11.0,ps95,
11.1,ps96,
11.2,ps96,
11.3,ps97,
11.4,ps97,
11.5,ps98,
11.6,ps98,
11.7,ps99,
11.8,ps99,
11.9,ps99,
12.0,ps99,
12.1,ps100,
12.2,ps100,
12.3,ps100,
12.4,ps100,
12.5,ps100,
12.6,ps100,
12.7,ps100,
12.8,ps100,
12.9,ps100,
13.0,ps99,
13.1,ps99,
13.2,ps99,
13.3,ps99,
13.4,ps98,
13.5,ps98,
13.6,ps97,
13.7,ps97,
13.8,ps96,
13.9,ps96,
14.0,ps95,
14.1,ps94,
14.2,ps94,
14.3,ps93,
14.4,ps92,
14.5,ps91,
14.6,ps90,
14.7,ps90,
14.8,ps89,
14.9,ps88,
15.0,ps87,
15.1,ps86,
15.2,ps84,
15.3,ps83,
15.4,ps82,
15.5,ps81,
15.6,ps80,
15.7,ps78,
15.8,ps77,
15.9,ps76,
16.0,ps74,
16.1,ps73,
16.2,ps71,
16.3,ps70,
16.4,ps68,
16.5,ps67,
16.6,ps65,
16.7,ps64,
16.8,ps62,
16.9,ps60,
17.0,ps59,
17.1,ps57,
17.2,ps55,
17.3,ps54,
17.4,ps52,
17.5,ps50,
17.6,ps48,
17.7,ps46,
17.8,ps44,
17.9,ps43,
18.0,ps41,
