delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,se
5.0,ps0,
5.1,ps1,
5.2,ps1,
5.3,ps2,
5.4,ps2,
5.5,ps3,
5.6,ps3,
5.7,ps4,
5.8,ps4,
5.9,ps5,
6.0,ps5,
6.1,ps6,
6.2,ps6,
6.3,ps7,
6.4,ps7,
6.5,ps8,
6.6,ps8,
6.7,ps9,
6.8,ps9,
6.9,ps10,
7.0,ps10,
7.1,ps11,
7.2,ps11,
7.3,ps12,
7.4,ps12,
7.5,ps13,
7.6,ps13,
7.7,ps14,
7.8,ps14,
7.9,ps15,
8.0,ps15,
8.1,ps16,
8.2,ps16,
8.3,ps17,
8.4,ps17,
8.5,ps18,
8.6,ps18,
8.7,ps19,
8.8,ps19,
8.9,ps20,
9.0,ps20,
9.1,ps21,
9.2,ps21,
9.3,ps22,
9.4,ps22,
9.5,ps23,
9.6,ps23,
9.7,ps24,
9.8,ps24,
9.9,ps25,
10.0,ps25,
10.1,ps25,
10.2,ps26,
10.3,ps26,
10.4,ps27,
10.5,ps27,
10.6,ps28,
10.7,ps28,
10.8,ps29,
10.9,ps29,
11.0,ps29,
11.1,ps30,
11.2,ps30,
11.3,ps31,
11.4,ps31,
11.5,ps31,
11.6,ps32,
11.7,ps32,
11.8,ps33,
11.9,ps33,
12.0,ps33,
12.1,ps34,
12.2,ps34,
12.3,ps35,
12.4,ps35,
12.5,ps35,
12.6,ps36,
12.7,ps36,
12.8,ps36,
12.9,ps37,
13.0,ps37,
13.1,ps38,
13.2,ps38,
13.3,ps38,
13.4,ps39,
13.5,ps39,
13.6,ps39,
13.7,ps40,
13.8,ps40,
13.9,ps40,
14.0,ps40,
14.1,ps41,
14.2,ps41,
14.3,ps41,
14.4,ps42,
14.5,ps42,
14.6,ps42,
14.7,ps42,
14.8,ps43,
14.9,ps43,
15.0,ps43,
15.1,ps44,
15.2,ps44,
15.3,ps44,
15.4,ps44,
15.5,ps45,
15.6,ps45,
15.7,ps45,
15.8,ps45,
15.9,ps45,
16.0,ps46,
16.1,ps46,
16.2,ps46,
16.3,ps46,
16.4,ps46,
16.5,ps47,
16.6,ps47,
16.7,ps47,
16.8,ps47,
16.9,ps47,
17.0,ps48,
17.1,ps48,
17.2,ps48,
17.3,ps48,
17.4,ps48,
17.5,ps48,
17.6,ps48,
17.7,ps49,
17.8,ps49,
17.9,ps49,
18.0,ps49,
