frame,time_elapsed,laser_cen_x,laser_cen_y,laser_radius,laser_on
1,8.341666666666667,,,,False
2,16.683333333333334,629.5,272.5,22.770694732666016,True
3,25.025000000000002,628.5,272.5,22.770694732666016,True
4,33.36666666666667,628.5,272.5,22.770694732666016,True
5,41.708333333333336,628.5,272.5,22.770694732666016,True
6,50.050000000000004,630.0,272.6000061035156,22.95134735107422,True
7,58.391666666666666,630.0,272.6000061035156,22.95134735107422,True
8,66.73333333333333,630.0,272.6000061035156,22.95134735107422,True
9,75.075,630.0,272.6000061035156,22.95134735107422,True
10,83.41666666666667,630.5,272.5,22.94568634033203,True
11,91.75833333333334,630.5,272.5,22.94568634033203,True
12,100.10000000000001,627.5,272.4111022949219,22.858522415161133,True
13,108.44166666666666,627.5,272.4111022949219,22.858522415161133,True
14,116.78333333333333,629.0,272.5,23.286361694335938,True
15,125.125,629.5,272.5,23.162569046020508,True
16,133.46666666666667,630.1875,272.5625,22.947900772094727,True
17,141.80833333333334,629.0,272.5,23.286361694335938,True
18,150.15,629.0,272.5,23.286361694335938,True
19,158.49166666666667,628.0,272.4222106933594,22.776304244995117,True
20,166.83333333333334,630.5,272.5,22.94568634033203,True
21,175.175,629.0,272.5,23.286361694335938,True
22,183.51666666666668,630.5,272.5,22.94568634033203,True
23,191.85833333333335,630.5,272.5,22.94568634033203,True
24,200.20000000000002,630.5,272.5,22.94568634033203,True
25,208.54166666666666,629.0,272.5,23.286361694335938,True
26,216.88333333333333,629.0,272.5,23.286361694335938,True
27,225.225,629.5,272.5,22.770694732666016,True
28,233.56666666666666,629.0,272.5,23.286361694335938,True
29,241.90833333333333,627.5,272.5,22.94568634033203,True
30,250.25,627.5,272.4111022949219,22.858522415161133,True
31,258.5916666666667,627.5,272.5,22.94568634033203,True
32,266.93333333333334,629.5,272.5,23.162569046020508,True
33,275.275,629.0,272.5,23.286361694335938,True
34,283.6166666666667,627.5,272.5,22.94568634033203,True
35,291.9583333333333,630.5,272.5,22.94568634033203,True
36,300.3,629.0,272.5,23.286361694335938,True
37,308.64166666666665,630.5,272.5,22.94568634033203,True
38,316.98333333333335,630.5,272.5,22.94568634033203,True
39,325.325,630.5,272.5,22.94568634033203,True
40,333.6666666666667,630.5,272.5,22.94568634033203,True
41,342.0083333333333,629.5,272.5,23.162569046020508,True
42,350.35,629.0,272.5,23.286361694335938,True
43,358.69166666666666,629.0,272.5,23.286361694335938,True
44,367.03333333333336,629.0,272.5,23.286361694335938,True
45,375.375,629.0,272.5,23.286361694335938,True
