cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
276,32.4,ps-52,
277,32.5,ps-50,
278,32.6,ps-48,
279,32.7,ps-46,
280,32.8,ps-44,
281,32.9,ps-43,
282,33.0,ps-41,
283,33.1,ps-39,
284,33.2,ps-37,
285,33.3,ps-35,
286,33.4,ps-33,
287,33.5,ps-31,
288,33.6,ps-29,
289,33.7,ps-27,
290,33.8,ps-25,
291,33.9,ps-23,
292,34.0,ps-21,
293,34.1,ps-19,
294,34.2,ps-17,
295,34.3,ps-15,
296,34.4,ps-13,
297,34.5,ps-10,
298,34.6,ps-8,
299,34.7,ps-6,
300,34.8,ps-4,
301,34.9,ps-2,
302,35.0,ps0,
303,35.1,ps2,
304,35.2,ps4,
305,35.3,ps6,
306,35.4,ps8,
307,35.5,ps10,
308,35.6,ps13,
309,35.7,ps15,
310,35.8,ps17,
311,35.9,ps19,
312,36.0,ps21,
313,36.1,ps23,
314,36.2,ps25,
315,36.3,ps27,
316,36.4,ps29,
317,36.5,ps31,
318,36.6,ps33,
319,36.7,ps35,
320,36.8,ps37,
321,36.9,ps39,
322,37.0,ps41,
323,37.1,ps43,
324,37.2,ps44,
325,37.3,ps46,
326,37.4,ps48,
327,37.5,ps50,
328,37.6,ps52,
329,37.7,ps54,
330,37.8,ps55,
331,37.9,ps57,
332,38.0,ps59,
333,38.1,ps60,
334,38.2,ps62,
335,38.3,ps64,
336,38.4,ps65,
337,38.5,ps67,
338,38.6,ps68,
339,38.7,ps70,
340,38.8,ps71,
341,38.9,ps73,
342,39.0,ps74,
343,39.1,ps76,
344,39.2,ps77,
345,39.3,ps78,
346,39.4,ps80,
347,39.5,ps81,
348,39.6,ps82,
349,39.7,ps83,
350,39.8,ps84,
351,39.9,ps86,
352,40.0,ps87,
353,40.1,ps88,
354,40.2,ps89,
355,40.3,ps90,
356,40.4,ps90,
357,40.5,ps91,
358,40.6,ps92,
359,40.7,ps93,
360,40.8,ps94,
361,40.9,ps94,
362,41.0,ps95,
363,41.1,ps96,
364,41.2,ps96,
365,41.3,ps97,
366,41.4,ps97,
367,41.5,ps98,
368,41.6,ps98,
369,41.7,ps99,
370,41.8,ps99,
371,41.9,ps99,
372,42.0,ps99,
373,42.1,ps100,
374,42.2,ps100,
375,42.3,ps100,
376,42.4,ps100,
377,42.5,ps100,
378,42.6,ps100,
379,42.7,ps100,
380,42.8,ps100,
381,42.9,ps100,
382,43.0,ps99,
383,43.1,ps99,
384,43.2,ps99,
385,43.3,ps99,
386,43.4,ps98,
387,43.5,ps98,
388,43.6,ps97,
389,43.7,ps97,
390,43.8,ps96,
391,43.9,ps96,
392,44.0,ps95,
393,44.1,ps94,
394,44.2,ps94,
395,44.3,ps93,
396,44.4,ps92,
397,44.5,ps91,
398,44.6,ps90,
399,44.7,ps90,
400,44.8,ps89,
401,44.9,ps88,
402,45.0,ps87,
403,45.1,ps86,
404,45.2,ps84,
405,45.3,ps83,
406,45.4,ps82,
407,45.5,ps81,
408,45.6,ps80,
409,45.7,ps78,
410,45.8,ps77,
411,45.9,ps76,
412,46.0,ps74,
413,46.1,ps73,
414,46.2,ps71,
415,46.3,ps70,
416,46.4,ps68,
417,46.5,ps67,
418,46.6,ps65,
419,46.7,ps64,
420,46.8,ps62,
421,46.9,ps60,
422,47.0,ps59,
423,47.1,ps57,
424,47.2,ps55,
425,47.3,ps54,
426,47.4,ps52,
427,47.5,ps50,
428,47.6,ps48,
429,47.7,ps46,
430,47.8,ps44,
431,47.9,ps43,
432,48.0,ps41,
433,48.1,ps39,
434,48.2,ps37,
435,48.3,ps35,
436,48.4,ps33,
437,48.5,ps31,
438,48.6,ps29,
439,48.7,ps27,
440,48.8,ps25,
441,48.9,ps23,
442,49.0,ps21,
443,49.1,ps19,
444,49.2,ps17,
445,49.3,ps15,
446,49.4,ps13,
447,49.5,ps10,
448,49.6,ps8,
449,49.7,ps6,
450,49.8,ps4,
451,49.9,ps2,
452,50.0,ps0,
453,50.1,ps-2,
454,50.2,ps-4,
455,50.3,ps-6,
456,50.4,ps-8,
457,50.5,ps-10,
458,50.6,ps-13,
459,50.7,ps-15,
460,50.8,ps-17,
461,50.9,ps-19,
462,51.0,ps-21,
463,51.1,ps-23,
464,51.2,ps-25,
465,51.3,ps-27,
466,51.4,ps-29,
467,51.5,ps-31,
468,51.6,ps-33,
469,51.7,ps-35,
