cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.5,ci,ci
2,1.0,ps1,se
3,5.5,po10,
4,16.0,po-10,
5,26.5,ps10,
6,27.0,po80,
7,35.5,po-80,
8,44.0,ps20,
9,44.5,po80,
10,49.0,po-80,
11,53.5,ps30,
12,54.0,po80,
13,57.5,po-80,
14,61.0,ps40,
15,61.5,po80,
16,64.0,po-80,
17,66.5,ps50,
18,67.0,po80,
19,69.5,po-80,
20,72.0,ps60,
21,72.5,po80,
22,75.0,po-80,
23,77.5,ps70,
24,78.0,po80,
25,80.5,po-80,
26,83.0,ps80,
27,83.5,po80,
28,85.0,po-80,
29,86.5,ps90,
30,87.0,po80,
31,88.5,po-80,
32,90.0,ps100,
33,90.5,po80,
34,92.0,po-80,
