cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.1,ci,ci
2,4.9,,ps1000
3,5.0,,po8
4,6.0,,po8
5,7.0,,po8
6,8.0,,po8
7,9.0,,po8
8,10.0,,po8
9,11.0,,po8
10,12.0,,po8
11,13.0,,po8
12,14.0,,po8
13,15.0,,po8
14,16.0,,po8
15,17.0,,po8
16,18.0,,po8
17,19.0,,po-112
18,19.1,,to-16
19,20.0,,po8
20,21.0,,po8
21,22.0,,po8
22,23.0,,po8
23,24.0,,po8
24,25.0,,po8
25,26.0,,po8
26,27.0,,po8
27,28.0,,po8
28,29.0,,po8
29,30.0,,po8
30,31.0,,po8
31,32.0,,po8
32,33.0,,po8
33,34.0,,po-112
34,34.1,,to-16
35,35.0,,po8
36,36.0,,po8
37,37.0,,po8
38,38.0,,po8
39,39.0,,po8
40,40.0,,po8
41,41.0,,po8
42,42.0,,po8
43,43.0,,po8
44,44.0,,po8
45,45.0,,po8
46,46.0,,po8
47,47.0,,po8
48,48.0,,po8
49,49.0,,po-112
50,49.1,,to-16
51,50.0,,po8
52,51.0,,po8
53,52.0,,po8
54,53.0,,po8
55,54.0,,po8
56,55.0,,po8
57,56.0,,po8
58,57.0,,po8
59,58.0,,po8
60,59.0,,po8
61,60.0,,po8
62,61.0,,po8
63,62.0,,po8
64,63.0,,po8
65,64.0,,po-112
66,64.1,,to-16
67,65.0,,po8
68,66.0,,po8
69,67.0,,po8
70,68.0,,po8
71,69.0,,po8
72,70.0,,po8
73,71.0,,po8
74,72.0,,po8
75,73.0,,po8
76,74.0,,po8
77,75.0,,po8
78,76.0,,po8
79,77.0,,po8
80,78.0,,po8
81,79.0,,po-112
82,79.1,,to-16
83,80.0,,po8
84,81.0,,po8
85,82.0,,po8
86,83.0,,po8
87,84.0,,po8
88,85.0,,po8
89,86.0,,po8
90,87.0,,po8
91,88.0,,po8
92,89.0,,po8
93,90.0,,po8
94,91.0,,po8
95,92.0,,po8
96,93.0,,po8
97,94.0,,po-112
98,94.1,,to-16
99,95.0,,po8
100,96.0,,po8
101,97.0,,po8
102,98.0,,po8
103,99.0,,po8
104,100.0,,po8
105,101.0,,po8
106,102.0,,po8
107,103.0,,po8
108,104.0,,po8
109,105.0,,po8
110,106.0,,po8
111,107.0,,po8
112,108.0,,po8
113,109.0,,po-112
114,109.1,,to-16
115,110.0,,po8
116,111.0,,po8
117,112.0,,po8
118,113.0,,po8
119,114.0,,po8
120,115.0,,po8
121,116.0,,po8
122,117.0,,po8
123,118.0,,po8
124,119.0,,po8
125,120.0,,po8
126,121.0,,po8
127,122.0,,po8
128,123.0,,po8
129,124.0,,po-112
130,124.1,,to-16
131,125.0,,po8
132,126.0,,po8
133,127.0,,po8
134,128.0,,po8
135,129.0,,po8
136,130.0,,po8
137,131.0,,po8
138,132.0,,po8
139,133.0,,po8
140,134.0,,po8
141,135.0,,po8
142,136.0,,po8
143,137.0,,po8
144,138.0,,po8
145,139.0,,po-112
146,139.1,,to-16
147,140.0,,po8
148,141.0,,po8
149,142.0,,po8
150,143.0,,po8
151,144.0,,po8
152,145.0,,po8
153,146.0,,po8
154,147.0,,po8
155,148.0,,po8
156,149.0,,po8
157,150.0,,po8
158,151.0,,po8
159,152.0,,po8
160,153.0,,po8
