delay,ptu_ebay_cmd,ptu_d48_cmd
47.6,ps40,ps-40
47.7,ps39,ps-39
47.8,ps39,ps-39
47.9,ps39,ps-39
48.0,ps39,ps-39
48.1,ps39,ps-39
48.2,ps39,ps-39
48.3,ps38,ps-38
48.4,ps38,ps-38
48.5,ps38,ps-38
48.6,ps38,ps-38
48.7,ps38,ps-38
48.8,ps38,ps-38
48.9,ps37,ps-37
49.0,ps37,ps-37
49.1,ps37,ps-37
49.2,ps37,ps-37
49.3,ps37,ps-37
49.4,ps36,ps-36
49.5,ps36,ps-36
49.6,ps36,ps-36
49.7,ps36,ps-36
49.8,ps36,ps-36
49.9,ps36,ps-36
50.0,ps35,ps-35
50.1,ps35,ps-35
50.2,ps35,ps-35
50.3,ps35,ps-35
50.4,ps35,ps-35
50.5,ps34,ps-34
50.6,ps34,ps-34
50.7,ps34,ps-34
50.8,ps34,ps-34
50.9,ps34,ps-34
51.0,ps33,ps-33
51.1,ps33,ps-33
51.2,ps33,ps-33
51.3,ps33,ps-33
51.4,ps33,ps-33
51.5,ps32,ps-32
51.6,ps32,ps-32
51.7,ps32,ps-32
51.8,ps32,ps-32
51.9,ps32,ps-32
52.0,ps31,ps-31
52.1,ps31,ps-31
52.2,ps31,ps-31
52.3,ps31,ps-31
52.4,ps31,ps-31
52.5,ps30,ps-30
52.6,ps30,ps-30
52.7,ps30,ps-30
52.8,ps30,ps-30
52.9,ps30,ps-30
53.0,ps29,ps-29
53.1,ps29,ps-29
53.2,ps29,ps-29
53.3,ps29,ps-29
53.4,ps29,ps-29
53.5,ps28,ps-28
53.6,ps28,ps-28
53.7,ps28,ps-28
53.8,ps28,ps-28
53.9,ps27,ps-27
54.0,ps27,ps-27
54.1,ps27,ps-27
54.2,ps27,ps-27
54.3,ps27,ps-27
54.4,ps26,ps-26
54.5,ps26,ps-26
54.6,ps26,ps-26
54.7,ps26,ps-26
54.8,ps25,ps-25
54.9,ps25,ps-25
55.0,ps25,ps-25
55.1,ps25,ps-25
55.2,ps25,ps-25
55.3,ps24,ps-24
55.4,ps24,ps-24
55.5,ps24,ps-24
55.6,ps24,ps-24
55.7,ps23,ps-23
55.8,ps23,ps-23
55.9,ps23,ps-23
56.0,ps23,ps-23
56.1,ps22,ps-22
56.2,ps22,ps-22
56.3,ps22,ps-22
56.4,ps22,ps-22
56.5,ps22,ps-22
56.6,ps21,ps-21
56.7,ps21,ps-21
56.8,ps21,ps-21
56.9,ps21,ps-21
57.0,ps20,ps-20
57.1,ps20,ps-20
57.2,ps20,ps-20
57.3,ps20,ps-20
57.4,ps19,ps-19
57.5,ps19,ps-19
57.6,ps19,ps-19
57.7,ps19,ps-19
57.8,ps18,ps-18
57.9,ps18,ps-18
58.0,ps18,ps-18
58.1,ps18,ps-18
58.2,ps17,ps-17
58.3,ps17,ps-17
58.4,ps17,ps-17
58.5,ps17,ps-17
58.6,ps16,ps-16
